Species Name,Type,Source,Range ,COSEWICID
Erigeron philadelphicus var. glaber,Endemics,NatureServe,Yes,NA
Erigeron trifidus,Endemics,NatureServe,Yes,NA
Euchalcia borealis,Endemics,NatureServe,Yes,NA
Eucosma sableana,Endemics,NatureServe,Yes,NA
Euxoa chimoensis,Endemics,NatureServe,Yes,NA
Euxoa muldersi,Endemics,NatureServe,Yes,NA
Feltia troubridgei,Endemics,NatureServe,Yes,NA
Festuca prolifera var. lasiolepis,Endemics,NatureServe,Yes,NA
Festuca pseudovivipara,Endemics,NatureServe,Yes,NA
Festuca saximontana var. robertsiana,Endemics,NatureServe,Yes,NA
Formica arcana,Endemics,NatureServe,Yes,NA
Frullania hattoriana,Endemics,NatureServe,Yes,NA
Galba alberta,Endemics,NatureServe,Yes,NA
Gentianopsis detonsa ssp. nesophila,Endemics,NatureServe,Yes,NA
Gentianopsis detonsa ssp. raupii,Endemics,NatureServe,Yes,NA
Gentianopsis virgata ssp. victorinii,Endemics,NatureServe,Yes,NA
Geum schofieldii,Endemics,NatureServe,Yes,NA
Glaucidium gnoma swarthi,Endemics,NatureServe,Yes,NA
Glossosoma spinatum,Endemics,NatureServe,Yes,NA
Grus americana,Endemics,NatureServe,Yes,NA
Grylloblatta scudderi,Endemics,NatureServe,Yes,NA
Gulo gulo vancouverensis,Endemics,NatureServe,Yes,NA
Henlea yukonensis,Endemics,NatureServe,Yes,NA
Hydnobius autumnalis,Endemics,NatureServe,Yes,NA
Juniperus communis var. megistocarpa,Endemics,NatureServe,Yes,NA
Lagopus leucura saxatilis,Endemics,NatureServe,Yes,NA
Lampetra macrostoma,Endemics,NatureServe,Yes,NA
Lasioglossum sablense,Endemics,NatureServe,Yes,NA
Lasionycta frigida,Endemics,NatureServe,Yes,NA
Lasionycta haida,Endemics,NatureServe,Yes,NA
Lasionycta lagganata,Endemics,NatureServe,Yes,NA
Lechea intermedia var. depauperata,Endemics,NatureServe,Yes,NA
Lechea maritima var. subcylindrica,Endemics,NatureServe,Yes,NA
Leptothorax athabasca,Endemics,NatureServe,Yes,NA
Leptothorax paraxenus,Endemics,NatureServe,Yes,NA
Leptothorax pocahontas,Endemics,NatureServe,Yes,NA
Leptothorax sphagnicola,Endemics,NatureServe,Yes,NA
Leuctra baddecka,Endemics,NatureServe,Yes,NA
Limnanthes macounii,Endemics,NatureServe,Yes,NA
Linum lewisii var. lepagei,Endemics,NatureServe,Yes,NA
Loxia curvirostra percna,Endemics,NatureServe,Yes,NA
Loxocera ojibwayensis,Endemics,NatureServe,Yes,NA
Lycaena dospassosi,Endemics,NatureServe,Yes,NA
Lypoglossa manitobae,Endemics,NatureServe,Yes,NA
Marmota vancouverensis,Endemics,NatureServe,Yes,NA
Martes americana atrata,Endemics,NatureServe,Yes,NA
Melanoplus gaspesiensis,Endemics,NatureServe,Yes,NA
