Species Name,Type,Source,Range ,COSEWICID
Lontra canadensis,Common Species,IUCN,Yes,NA
Lynx canadensis,Common Species,IUCN,Yes,NA
Lynx rufus,Common Species,IUCN,Yes,NA
Marmota broweri,Common Species,IUCN,Yes,NA
Marmota caligata,Common Species,IUCN,Yes,NA
Marmota flaviventris,Common Species,IUCN,Yes,NA
Marmota monax,Common Species,IUCN,Yes,NA
Marmota vancouverensis,Common Species,IUCN,Yes,NA
Martes americana,Common Species,IUCN,Yes,NA
Martes pennanti,Common Species,IUCN,Yes,NA
Mephitis mephitis,Common Species,IUCN,Yes,NA
Microtus chrotorrhinus,Common Species,IUCN,Yes,NA
Microtus longicaudus,Common Species,IUCN,Yes,NA
Microtus miurus,Common Species,IUCN,Yes,NA
Microtus montanus,Common Species,IUCN,Yes,NA
Microtus ochrogaster,Common Species,IUCN,Yes,NA
Microtus oeconomus,Common Species,IUCN,Yes,NA
Microtus oregoni,Common Species,IUCN,Yes,NA
Microtus pennsylvanicus,Common Species,IUCN,Yes,NA
Microtus pinetorum,Common Species,IUCN,Yes,NA
Microtus richardsoni,Common Species,IUCN,Yes,NA
Microtus townsendii,Common Species,IUCN,Yes,NA
Microtus xanthognathus,Common Species,IUCN,Yes,NA
Mus musculus,Common Species,IUCN,Yes,NA
Mustela erminea,Common Species,IUCN,Yes,NA
Mustela frenata,Common Species,IUCN,Yes,NA
Mustela nivalis,Common Species,IUCN,Yes,NA
Myodes gapperi,Common Species,IUCN,Yes,NA
Myodes rutilus,Common Species,IUCN,Yes,NA
Myotis californicus,Common Species,IUCN,Yes,NA
Myotis ciliolabrum,Common Species,IUCN,Yes,NA
Myotis evotis,Common Species,IUCN,Yes,NA
Myotis keenii,Common Species,IUCN,Yes,NA
Myotis leibii,Common Species,IUCN,Yes,NA
Myotis lucifugus,Common Species,IUCN,Yes,NA
Myotis melanorhinus,Common Species,IUCN,Yes,NA
Myotis septentrionalis,Common Species,IUCN,Yes,NA
Myotis sodalis,Common Species,IUCN,Yes,NA
Myotis thysanodes,Common Species,IUCN,Yes,NA
Myotis volans,Common Species,IUCN,Yes,NA
Myotis yumanensis,Common Species,IUCN,Yes,NA
Napaeozapus insignis,Common Species,IUCN,Yes,NA
Neotamias amoenus,Common Species,IUCN,Yes,NA
Neotamias minimus,Common Species,IUCN,Yes,NA
Neotamias ruficaudus,Common Species,IUCN,Yes,NA
Neotamias townsendii,Common Species,IUCN,Yes,NA
Neotoma cinerea,Common Species,IUCN,Yes,NA
Neovison vison,Common Species,IUCN,Yes,NA
Neurotrichus gibbsii,Common Species,IUCN,Yes,NA
Ochotona collaris,Common Species,IUCN,Yes,NA
Ochotona princeps,Common Species,IUCN,Yes,NA
Odocoileus hemionus,Common Species,IUCN,Yes,NA
Odocoileus virginianus,Common Species,IUCN,Yes,NA
Ondatra zibethicus,Common Species,IUCN,Yes,NA
Onychomys leucogaster,Common Species,IUCN,Yes,NA
Oreamnos americanus,Common Species,IUCN,Yes,NA
Ovibos moschatus,Common Species,IUCN,Yes,NA
Ovis canadensis,Common Species,IUCN,Yes,NA
Ovis dalli,Common Species,IUCN,Yes,NA
Parascalops breweri,Common Species,IUCN,Yes,NA
Perognathus fasciatus,Common Species,IUCN,Yes,NA
Perognathus parvus,Common Species,IUCN,Yes,NA
Peromyscus keeni,Common Species,IUCN,Yes,NA
Peromyscus leucopus,Common Species,IUCN,Yes,NA
Peromyscus maniculatus,Common Species,IUCN,Yes,NA
Phenacomys intermedius,Common Species,IUCN,Yes,NA
Phenacomys ungava,Common Species,IUCN,Yes,NA
Pipistrellus subflavus,Common Species,IUCN,Yes,NA
Poliocitellus franklinii,Common Species,IUCN,Yes,NA
Procyon lotor,Common Species,IUCN,Yes,NA
Puma concolor,Common Species,IUCN,Yes,NA
Rangifer tarandus,Common Species,IUCN,Yes,NA
Reithrodontomys megalotis,Common Species,IUCN,Yes,NA
Scalopus aquaticus,Common Species,IUCN,Yes,NA
Scapanus orarius,Common Species,IUCN,Yes,NA
Scapanus townsendii,Common Species,IUCN,Yes,NA
Sciurus carolinensis,Common Species,IUCN,Yes,NA
Sciurus niger,Common Species,IUCN,Yes,NA
Sorex arcticus,Common Species,IUCN,Yes,NA
Sorex bendirii,Common Species,IUCN,Yes,NA
Sorex cinereus,Common Species,IUCN,Yes,NA
Sorex dispar,Common Species,IUCN,Yes,NA
Sorex fumeus,Common Species,IUCN,Yes,NA
Sorex haydeni,Common Species,IUCN,Yes,NA
Sorex hoyi,Common Species,IUCN,Yes,NA
Sorex maritimensis,Common Species,IUCN,Yes,NA
Sorex merriami,Common Species,IUCN,Yes,NA
Sorex monticolus,Common Species,IUCN,Yes,NA
Sorex palustris,Common Species,IUCN,Yes,NA
Sorex preblei,Common Species,IUCN,Yes,NA
Sorex rohweri,Common Species,IUCN,Yes,NA
Sorex trowbridgii,Common Species,IUCN,Yes,NA
Sorex tundrensis,Common Species,IUCN,Yes,NA
Sorex ugyunak,Common Species,IUCN,Yes,NA
Sorex vagrans,Common Species,IUCN,Yes,NA
Spilogale gracilis,Common Species,IUCN,Yes,NA
Spilogale putorius,Common Species,IUCN,Yes,NA
Sylvilagus floridanus,Common Species,IUCN,Yes,NA
Sylvilagus nuttallii,Common Species,IUCN,Yes,NA
Synaptomys borealis,Common Species,IUCN,Yes,NA
Synaptomys cooperi,Common Species,IUCN,Yes,NA
Tamias striatus,Common Species,IUCN,Yes,NA
Tamiasciurus douglasii,Common Species,IUCN,Yes,NA
Tamiasciurus hudsonicus,Common Species,IUCN,Yes,NA
Taxidea taxus,Common Species,IUCN,Yes,NA
Thomomys talpoides,Common Species,IUCN,Yes,NA
Urocitellus columbianus,Common Species,IUCN,Yes,NA
Urocitellus parryii,Common Species,IUCN,Yes,NA
Urocitellus richardsonii,Common Species,IUCN,Yes,NA
Urocyon cinereoargenteus,Common Species,IUCN,Yes,NA
Ursus americanus,Common Species,IUCN,Yes,NA
Ursus arctos,Common Species,IUCN,Yes,NA
Ursus maritimus,Common Species,IUCN,Yes,NA
Vulpes lagopus,Common Species,IUCN,Yes,NA
Vulpes velox,Common Species,IUCN,Yes,NA
Vulpes vulpes,Common Species,IUCN,Yes,NA
Zapus hudsonius,Common Species,IUCN,Yes,NA
Zapus princeps,Common Species,IUCN,Yes,NA
Zapus trinotatus,Common Species,IUCN,Yes,NA
Caretta caretta,Common Species,IUCN,Yes,NA
Charina bottae,Common Species,IUCN,Yes,NA
Chelonia mydas,Common Species,IUCN,Yes,NA
Contia tenuis,Common Species,IUCN,Yes,NA
Crotalus oreganus,Common Species,IUCN,Yes,NA
Crotalus viridis,Common Species,IUCN,Yes,NA
Dermochelys coriacea,Common Species,IUCN,Yes,NA
Diadophis punctatus,Common Species,IUCN,Yes,NA
Elgaria coerulea,Common Species,IUCN,Yes,NA
Eretmochelys imbricata,Common Species,IUCN,Yes,NA
Heterodon nasicus,Common Species,IUCN,Yes,NA
Heterodon platirhinos,Common Species,IUCN,Yes,NA
Hypsiglena torquata,Common Species,IUCN,Yes,NA
Lepidochelys olivacea,Common Species,IUCN,Yes,NA
Nerodia sipedon,Common Species,IUCN,Yes,NA
Opheodrys vernalis,Common Species,IUCN,Yes,NA
Pantherophis gloydi,Common Species,IUCN,Yes,NA
Pantherophis obsoletus,Common Species,IUCN,Yes,NA
Phrynosoma hernandesi,Common Species,IUCN,Yes,NA
Pituophis catenifer,Common Species,IUCN,Yes,NA
Plestiodon fasciatus,Common Species,IUCN,Yes,NA
Plestiodon septentrionalis,Common Species,IUCN,Yes,NA
Plestiodon skiltonianus,Common Species,IUCN,Yes,NA
Sistrurus catenatus,Common Species,IUCN,Yes,NA
Storeria occipitomaculata,Common Species,IUCN,Yes,NA
Thamnophis butleri,Common Species,IUCN,Yes,NA
Thamnophis elegans,Common Species,IUCN,Yes,NA
Thamnophis ordinoides,Common Species,IUCN,Yes,NA
Thamnophis radix,Common Species,IUCN,Yes,NA
Thamnophis sauritus,Common Species,IUCN,Yes,NA
Thamnophis sirtalis,Common Species,IUCN,Yes,NA
Abietinella abietina,Common Species,NatureServe,No,NA
Abronia latifolia,Common Species,NatureServe,No,NA
Abronia umbellata ssp. breviflora,Common Species,NatureServe,No,NA
Acarospora schleicheri,Common Species,NatureServe,No,NA
Accipiter cooperii,Common Species,NatureServe,No,NA
Accipiter gentilis laingi,Common Species,NatureServe,No,NA
Acer nigrum,Common Species,NatureServe,No,NA
Acer saccharinum,Common Species,NatureServe,No,NA
Acerbia alpina,Common Species,NatureServe,No,NA
Achnatherum hymenoides,Common Species,NatureServe,No,NA
Achnatherum richardsonii,Common Species,NatureServe,No,NA
Achnatherum thurberianum,Common Species,NatureServe,No,NA
Acipenser oxyrinchus,Common Species,NatureServe,No,NA
Acipenser transmontanus pop. 3,Common Species,NatureServe,No,NA
Acipenser transmontanus pop. 6,Common Species,NatureServe,No,NA
Acorus americanus,Common Species,NatureServe,No,NA
Acrocheilus alutaceus,Common Species,NatureServe,No,NA
Acronicta albarufa,Common Species,NatureServe,No,NA
Actaea elata var. elata,Common Species,NatureServe,No,NA
Actaea pachypoda,Common Species,NatureServe,No,NA
Actaea racemosa,Common Species,NatureServe,No,NA
Actitis macularius,Common Species,NatureServe,No,NA
Adenocaulon bicolor,Common Species,NatureServe,No,NA
Adiantum aleuticum,Common Species,NatureServe,No,NA
Adiantum pedatum,Common Species,NatureServe,No,NA
Adiantum viridimontanum,Common Species,NatureServe,No,NA
Adlumia fungosa,Common Species,NatureServe,No,NA
Adoxa moschatellina,Common Species,NatureServe,No,NA
Aegolius funereus,Common Species,NatureServe,No,NA
Aeronautes saxatalis,Common Species,NatureServe,No,NA
Aeshna clepsydra,Common Species,NatureServe,No,NA
Aeshna constricta,Common Species,NatureServe,No,NA
Aeshna eremita,Common Species,NatureServe,No,NA
Aeshna interrupta lineata,Common Species,NatureServe,No,NA
Aeshna juncea,Common Species,NatureServe,No,NA
Aeshna septentrionalis,Common Species,NatureServe,No,NA
Aeshna subarctica,Common Species,NatureServe,No,NA
Aeshna umbrosa,Common Species,NatureServe,No,NA
Aeshna verticalis,Common Species,NatureServe,No,NA
Agalinis maritima,Common Species,NatureServe,No,NA
Agalinis neoscotica,Common Species,NatureServe,No,NA
Agalinis paupercula var. borealis,Common Species,NatureServe,No,NA
Agalinis purpurea,Common Species,NatureServe,No,NA
Agalinis tenuifolia,Common Species,NatureServe,No,NA
Agastache nepetoides,Common Species,NatureServe,No,NA
Agastache urticifolia,Common Species,NatureServe,No,NA
Ageratina altissima,Common Species,NatureServe,No,NA
Aglais milberti milberti,Common Species,NatureServe,No,NA
Aglais milberti,Common Species,NatureServe,No,NA
Agoseris aurantiaca var. aurantiaca,Common Species,NatureServe,No,NA
Agoseris lackschewitzii,Common Species,NatureServe,No,NA
Agrestia hispida,Common Species,NatureServe,No,NA
Agrimonia gryposepala,Common Species,NatureServe,No,NA
Agrimonia pubescens,Common Species,NatureServe,No,NA
Agrostis exarata,Common Species,NatureServe,No,NA
Agrostis hyemalis,Common Species,NatureServe,No,NA
Agrostis mertensii,Common Species,NatureServe,No,NA
Agrostis pallens,Common Species,NatureServe,No,NA
Agrostis perennans,Common Species,NatureServe,No,NA
Alasmidonta marginata,Common Species,NatureServe,No,NA
Alasmidonta undulata,Common Species,NatureServe,No,NA
Alca torda,Common Species,NatureServe,No,NA
Alces americanus,Common Species,NatureServe,No,NA
Alchemilla filicaulis ssp. Filicaulis,Common Species,NatureServe,No,NA
Alchemilla glomerulans,Common Species,NatureServe,No,NA
Alectoria imshaugii,Common Species,NatureServe,No,NA
Alectoria sarmentosa ssp. vexillifera,Common Species,NatureServe,No,NA
Alisma gramineum,Common Species,NatureServe,No,NA
Alisma subcordatum,Common Species,NatureServe,No,NA
Alisma triviale,Common Species,NatureServe,No,NA
Allium amplectens,Common Species,NatureServe,No,NA
Allium burdickii,Common Species,NatureServe,No,NA
Allium canadense var. canadense,Common Species,NatureServe,No,NA
Allium canadense,Common Species,NatureServe,No,NA
Allium cernuum,Common Species,NatureServe,No,NA
Allium crenulatum,Common Species,NatureServe,No,NA
Allium geyeri var. tenerum,Common Species,NatureServe,No,NA
Allium geyeri,Common Species,NatureServe,No,NA
Allium schoenoprasum var. sibiricum,Common Species,NatureServe,No,NA
Allium tricoccum,Common Species,NatureServe,No,NA
Almutaster pauciflorus,Common Species,NatureServe,No,NA
Alnus serrulata,Common Species,NatureServe,No,NA
Aloina bifrons,Common Species,NatureServe,No,NA
Aloina brevirostris,Common Species,NatureServe,No,NA
Aloina rigida,Common Species,NatureServe,No,NA
Alopecurus aequalis,Common Species,NatureServe,No,NA
Alopecurus alpinus ssp. glaucus,Common Species,NatureServe,No,NA
Alopecurus alpinus,Common Species,NatureServe,No,NA
Alopecurus carolinianus,Common Species,NatureServe,No,NA
Alosa sapidissima,Common Species,NatureServe,No,NA
Amaranthus californicus,Common Species,NatureServe,No,NA
Amblyodon dealbatus,Common Species,NatureServe,No,NA
Amblyscirtes hegon,Common Species,NatureServe,No,NA
Amblyscirtes oslari,Common Species,NatureServe,No,NA
Amblyscirtes vialis,Common Species,NatureServe,No,NA
Amblystegium varium,Common Species,NatureServe,No,NA
Ambrosia acanthicarpa,Common Species,NatureServe,No,NA
Ambrosia psilostachya,Common Species,NatureServe,No,NA
Ambystoma hybrid pop. 1,Common Species,NatureServe,No,NA
Ambystoma laterale,Common Species,NatureServe,No,NA
Ambystoma macrodactylum,Common Species,NatureServe,No,NA
Ambystoma mavortium,Common Species,NatureServe,No,NA
Ambystoma tigrinum,Common Species,NatureServe,No,NA
Amelanchier amabilis,Common Species,NatureServe,No,NA
Amelanchier canadensis,Common Species,NatureServe,No,NA
Amelanchier fernaldii,Common Species,NatureServe,No,NA
Amelanchier laevis,Common Species,NatureServe,No,NA
Amelanchier nantucketensis,Common Species,NatureServe,No,NA
Amelanchier stolonifera,Common Species,NatureServe,No,NA
Amerorchis rotundifolia,Common Species,NatureServe,No,NA
Ammodramus leconteii,Common Species,NatureServe,No,NA
Ammodramus nelsoni,Common Species,NatureServe,No,NA
Ammodramus savannarum,Common Species,NatureServe,No,NA
Amorpha canescens,Common Species,NatureServe,No,NA
Amorpha fruticosa,Common Species,NatureServe,No,NA
Amphiagrion abbreviatum,Common Species,NatureServe,No,NA
Amphiagrion saucium,Common Species,NatureServe,No,NA
Amphidium mougeotii,Common Species,NatureServe,No,NA
Anacamptodon splachnoides,Common Species,NatureServe,No,NA
Anagallis minima,Common Species,NatureServe,No,NA
Anaphalis margaritacea,Common Species,NatureServe,No,NA
Anarhichas denticulatus,Common Species,NatureServe,No,NA
Anas acuta,Common Species,NatureServe,No,NA
Anas americana,Common Species,NatureServe,No,NA
Anas clypeata,Common Species,NatureServe,No,NA
Anas discors,Common Species,NatureServe,No,NA
Anas strepera,Common Species,NatureServe,No,NA
Anastrophyllum assimile,Common Species,NatureServe,No,NA
Anastrophyllum helleranum,Common Species,NatureServe,No,NA
Anastrophyllum saxicola,Common Species,NatureServe,No,NA
Anatrytone logan,Common Species,NatureServe,No,NA
Anax junius,Common Species,NatureServe,No,NA
Anaxyrus hemiophrys,Common Species,NatureServe,No,NA
Ancyloxypha numitor,Common Species,NatureServe,No,NA
Andreaea alpestris,Common Species,NatureServe,No,NA
Andreaea blyttii,Common Species,NatureServe,No,NA
Andreaea nivalis,Common Species,NatureServe,No,NA
Andreaea rothii,Common Species,NatureServe,No,NA
Andreaeobryum macrosporum,Common Species,NatureServe,No,NA
Andromeda polifolia var. glaucophylla,Common Species,NatureServe,No,NA
Andropogon gerardii,Common Species,NatureServe,No,NA
Andropogon hallii,Common Species,NatureServe,No,NA
Anemone canadensis,Common Species,NatureServe,No,NA
Anemone multifida var. richardsiana,Common Species,NatureServe,No,NA
Anemone multifida,Common Species,NatureServe,No,NA
Anemone parviflora,Common Species,NatureServe,No,NA
Anemone quinquefolia var. bifolia,Common Species,NatureServe,No,NA
Anemone quinquefolia,Common Species,NatureServe,No,NA
Anemone richardsonii,Common Species,NatureServe,No,NA
Anemone virginiana var. cylindroidea,Common Species,NatureServe,No,NA
Anemone virginiana var. riparia,Common Species,NatureServe,No,NA
Anemone virginiana var. virginiana,Common Species,NatureServe,No,NA
Anemone virginiana,Common Species,NatureServe,No,NA
Aneura maxima,Common Species,NatureServe,No,NA
Angelica atropurpurea,Common Species,NatureServe,No,NA
Angelica lucida,Common Species,NatureServe,No,NA
Anguispira kochi,Common Species,NatureServe,No,NA
Anodonta beringiana,Common Species,NatureServe,No,NA
Anodonta implicata,Common Species,NatureServe,No,NA
Anoectangium aestivum,Common Species,NatureServe,No,NA
Anomobryum filiforme,Common Species,NatureServe,No,NA
Anomodon attenuatus,Common Species,NatureServe,No,NA
Anomodon minor,Common Species,NatureServe,No,NA
Anomodon rugelii,Common Species,NatureServe,No,NA
Anomodon viticulosus,Common Species,NatureServe,No,NA
Anomomarsupella cephalozielloides,Common Species,NatureServe,No,NA
Antennaria anaphaloides,Common Species,NatureServe,No,NA
Antennaria aromatica,Common Species,NatureServe,No,NA
Antennaria corymbosa,Common Species,NatureServe,No,NA
Antennaria densifolia,Common Species,NatureServe,No,NA
Antennaria dimorpha,Common Species,NatureServe,No,NA
Antennaria howellii ssp. canadensis,Common Species,NatureServe,No,NA
Antennaria howellii ssp. petaloidea,Common Species,NatureServe,No,NA
Antennaria parlinii,Common Species,NatureServe,No,NA
Antennaria plantaginifolia,Common Species,NatureServe,No,NA
Antennaria rosea ssp. arida,Common Species,NatureServe,No,NA
Antennaria rosea ssp. confinis,Common Species,NatureServe,No,NA
Antennaria rosea ssp. pulvinata,Common Species,NatureServe,No,NA
Antennaria rosea,Common Species,NatureServe,No,NA
Antennaria umbrinella,Common Species,NatureServe,No,NA
Anzia colpodes,Common Species,NatureServe,No,NA
Aongstroemia longipes,Common Species,NatureServe,No,NA
Aphanorrhegma serratum,Common Species,NatureServe,No,NA
Aphragmus eschscholtzianus,Common Species,NatureServe,No,NA
Apios americana,Common Species,NatureServe,No,NA
Aplectrum hyemale,Common Species,NatureServe,No,NA
Aplodon wormskjoldii,Common Species,NatureServe,No,NA
Apodemia mormo,Common Species,NatureServe,No,NA
Appalachina sayana,Common Species,NatureServe,No,NA
Aquila chrysaetos,Common Species,NatureServe,No,NA
Aquilegia jonesii,Common Species,NatureServe,No,NA
Arabidopsis salsuginea,Common Species,NatureServe,No,NA
Arabis alpina,Common Species,NatureServe,No,NA
Arabis arenicola,Common Species,NatureServe,No,NA
Arabis canadensis,Common Species,NatureServe,No,NA
Arabis drummondii,Common Species,NatureServe,No,NA
Arabis glabra,Common Species,NatureServe,No,NA
Arabis hirsuta var. pycnocarpa,Common Species,NatureServe,No,NA
Arabis holboellii var. retrofracta,Common Species,NatureServe,No,NA
Arabis laevigata,Common Species,NatureServe,No,NA
Arabis lemmonii,Common Species,NatureServe,No,NA
Arabis media,Common Species,NatureServe,No,NA
Arabis microphylla var. microphylla,Common Species,NatureServe,No,NA
Arabis sparsiflora,Common Species,NatureServe,No,NA
Arabis x divaricarpa,Common Species,NatureServe,No,NA
Aralia racemosa,Common Species,NatureServe,No,NA
Arceuthobium pusillum,Common Species,NatureServe,No,NA
Arceuthobium tsugense ssp. mertensianae,Common Species,NatureServe,No,NA
Arctagrostis latifolia ssp. arundinacea,Common Species,NatureServe,No,NA
Arctagrostis latifolia ssp. latifolia,Common Species,NatureServe,No,NA
Arctagrostis latifolia,Common Species,NatureServe,No,NA
Arctia brachyptera,Common Species,NatureServe,No,NA
Arctoa fulvella,Common Species,NatureServe,No,NA
Arctophila fulva,Common Species,NatureServe,No,NA
Arctostaphylos rubra,Common Species,NatureServe,No,NA
Arctostaphylos uva-ursi,Common Species,NatureServe,No,NA
Ardea alba,Common Species,NatureServe,No,NA
Ardea herodias fannini,Common Species,NatureServe,No,NA
Ardea herodias,Common Species,NatureServe,No,NA
Arenaria humifusa,Common Species,NatureServe,No,NA
Arenaria interpres,Common Species,NatureServe,No,NA
Arenaria longipedunculata,Common Species,NatureServe,No,NA
Arethusa bulbosa,Common Species,NatureServe,No,NA
Argentina egedii ssp. groenlandica,Common Species,NatureServe,No,NA
Argentina egedii,Common Species,NatureServe,No,NA
Argia emma,Common Species,NatureServe,No,NA
Argia sedula,Common Species,NatureServe,No,NA
Argia tibialis,Common Species,NatureServe,No,NA
Argia translata,Common Species,NatureServe,No,NA
Argia vivida,Common Species,NatureServe,No,NA
Arigomphus cornutus,Common Species,NatureServe,No,NA
Arigomphus furcifer,Common Species,NatureServe,No,NA
Arigomphus villosipes,Common Species,NatureServe,No,NA
Aristida dichotoma,Common Species,NatureServe,No,NA
Aristida longespica var. geniculata,Common Species,NatureServe,No,NA
Aristida longespica var. longespica,Common Species,NatureServe,No,NA
Aristida purpurea var. longiseta,Common Species,NatureServe,No,NA
Armeria maritima ssp. interior,Common Species,NatureServe,No,NA
Armeria maritima,Common Species,NatureServe,No,NA
Armoracia lacustris,Common Species,NatureServe,No,NA
Arnellia fennica,Common Species,NatureServe,No,NA
Arnica amplexicaulis,Common Species,NatureServe,No,NA
Arnica cordifolia,Common Species,NatureServe,No,NA
Arnica frigida ssp. griscomii,Common Species,NatureServe,No,NA
Arnica fulgens,Common Species,NatureServe,No,NA
Arnica lanceolata ssp. Lanceolata,Common Species,NatureServe,No,NA
Arnica lanceolata,Common Species,NatureServe,No,NA
Arnica lonchophylla,Common Species,NatureServe,No,NA
Arnica longifolia,Common Species,NatureServe,No,NA
Arnica louiseana,Common Species,NatureServe,No,NA
Arnica parryi,Common Species,NatureServe,No,NA
Arnica sororia,Common Species,NatureServe,No,NA
Artemisia alaskana,Common Species,NatureServe,No,NA
Artemisia campestris ssp. borealis,Common Species,NatureServe,No,NA
Artemisia campestris ssp. caudata,Common Species,NatureServe,No,NA
Artemisia campestris var. borealis,Common Species,NatureServe,No,NA
Artemisia campestris,Common Species,NatureServe,No,NA
Artemisia douglasiana,Common Species,NatureServe,No,NA
Artemisia dracunculus,Common Species,NatureServe,No,NA
Artemisia frigida,Common Species,NatureServe,No,NA
Artemisia furcata var. furcata,Common Species,NatureServe,No,NA
Artemisia furcata,Common Species,NatureServe,No,NA
Artemisia globularia,Common Species,NatureServe,No,NA
Artemisia laciniata,Common Species,NatureServe,No,NA
Artemisia ludoviciana ssp. ludoviciana,Common Species,NatureServe,No,NA
Artemisia michauxiana,Common Species,NatureServe,No,NA
Artemisia rupestris ssp. woodii,Common Species,NatureServe,No,NA
Artemisia tilesii,Common Species,NatureServe,No,NA
Artemisia tridentata,Common Species,NatureServe,No,NA
Arthothelium spectabile,Common Species,NatureServe,No,NA
Arthrorhaphis citrinella,Common Species,NatureServe,No,NA
Asarum canadense,Common Species,NatureServe,No,NA
Asclepias exaltata,Common Species,NatureServe,No,NA
Asclepias incarnata ssp. pulchra,Common Species,NatureServe,No,NA
Asclepias incarnata,Common Species,NatureServe,No,NA
Asclepias lanuginosa,Common Species,NatureServe,No,NA
Asclepias ovalifolia,Common Species,NatureServe,No,NA
Asclepias purpurascens,Common Species,NatureServe,No,NA
Asclepias sullivantii,Common Species,NatureServe,No,NA
Asclepias tuberosa ssp. interior,Common Species,NatureServe,No,NA
Asclepias verticillata,Common Species,NatureServe,No,NA
Asclepias viridiflora,Common Species,NatureServe,No,NA
Asimina triloba,Common Species,NatureServe,No,NA
Asio otus,Common Species,NatureServe,No,NA
Aspidotis densa,Common Species,NatureServe,No,NA
Asplenium adulterinum,Common Species,NatureServe,No,NA
Asplenium platyneuron,Common Species,NatureServe,No,NA
Asplenium rhizophyllum,Common Species,NatureServe,No,NA
Asplenium ruta-muraria var. cryptolepis,Common Species,NatureServe,No,NA
Asplenium ruta-muraria,Common Species,NatureServe,No,NA
Asplenium trichomanes,Common Species,NatureServe,No,NA
Asplenium viride,Common Species,NatureServe,No,NA
Asterocampa celtis,Common Species,NatureServe,No,NA
Asterocampa clyton,Common Species,NatureServe,No,NA
Astragalus alpinus var. brunetianus,Common Species,NatureServe,No,NA
Astragalus americanus,Common Species,NatureServe,No,NA
Astragalus australis,Common Species,NatureServe,No,NA
Astragalus bodinii,Common Species,NatureServe,No,NA
Astragalus eucosmus,Common Species,NatureServe,No,NA
Astragalus gilviflorus,Common Species,NatureServe,No,NA
Astragalus kentrophyta var. kentrophyta,Common Species,NatureServe,No,NA
Astragalus lentiginosus,Common Species,NatureServe,No,NA
Astragalus lotiflorus,Common Species,NatureServe,No,NA
Astragalus microcystis,Common Species,NatureServe,No,NA
Astragalus neglectus,Common Species,NatureServe,No,NA
Astragalus pectinatus,Common Species,NatureServe,No,NA
Astragalus purshii var. purshii,Common Species,NatureServe,No,NA
Astragalus robbinsii var. minor,Common Species,NatureServe,No,NA
Astragalus sclerocarpus,Common Species,NatureServe,No,NA
Astragalus spaldingii,Common Species,NatureServe,No,NA
Astragalus spatulatus,Common Species,NatureServe,No,NA
Astragalus vexilliflexus var. vexilliflexus,Common Species,NatureServe,No,NA
Astragalus vexilliflexus,Common Species,NatureServe,No,NA
Athalamia hyalina,Common Species,NatureServe,No,NA
Athene cunicularia,Common Species,NatureServe,No,NA
Athyrium americanum,Common Species,NatureServe,No,NA
Athyrium filix-femina ssp. angustum,Common Species,NatureServe,No,NA
Atrichum angustatum,Common Species,NatureServe,No,NA
Atrichum crispum,Common Species,NatureServe,No,NA
Atrichum selwynii,Common Species,NatureServe,No,NA
Atrichum tenellum,Common Species,NatureServe,No,NA
Atrichum undulatum,Common Species,NatureServe,No,NA
Atriplex acadiensis,Common Species,NatureServe,No,NA
Atriplex argentea ssp. argentea,Common Species,NatureServe,No,NA
Atriplex dioica,Common Species,NatureServe,No,NA
Atriplex franktonii,Common Species,NatureServe,No,NA
Atriplex gardneri,Common Species,NatureServe,No,NA
Atriplex gmelinii,Common Species,NatureServe,No,NA
Atriplex powellii,Common Species,NatureServe,No,NA
Atriplex truncata,Common Species,NatureServe,No,NA
Atriplex x aptera,Common Species,NatureServe,No,NA
Atrytonopsis hianna,Common Species,NatureServe,No,NA
Aulacomnium acuminatum,Common Species,NatureServe,No,NA
Aulacomnium androgynum,Common Species,NatureServe,No,NA
Aulacomnium heterostichum,Common Species,NatureServe,No,NA
Aulacomnium turgidum,Common Species,NatureServe,No,NA
Aureolaria flava,Common Species,NatureServe,No,NA
Aureolaria pedicularia,Common Species,NatureServe,No,NA
Aureolaria virginica,Common Species,NatureServe,No,NA
Aythya marila,Common Species,NatureServe,No,NA
Aythya valisineria,Common Species,NatureServe,No,NA
Bacidia bagliettoana,Common Species,NatureServe,No,NA
Bacidia pallens,Common Species,NatureServe,No,NA
Baptisia tinctoria,Common Species,NatureServe,No,NA
Barbarea orthoceras,Common Species,NatureServe,No,NA
Barbilophozia kunzeana,Common Species,NatureServe,No,NA
Barbilophozia lycopodioides,Common Species,NatureServe,No,NA
Barbilophozia quadriloba,Common Species,NatureServe,No,NA
Bartonia paniculata ssp. iodandra,Common Species,NatureServe,No,NA
Bartonia paniculata,Common Species,NatureServe,No,NA
Bartonia virginica,Common Species,NatureServe,No,NA
Bartramia ithyphylla,Common Species,NatureServe,No,NA
Bartramia longicauda,Common Species,NatureServe,No,NA
Bartramia pomiformis,Common Species,NatureServe,No,NA
Bartsia alpina,Common Species,NatureServe,No,NA
Basiaeschna janata,Common Species,NatureServe,No,NA
Bazzania tricrenata,Common Species,NatureServe,No,NA
Bellemerea cinereorufescens,Common Species,NatureServe,No,NA
Berula erecta,Common Species,NatureServe,No,NA
Besseya wyomingensis,Common Species,NatureServe,No,NA
Betula borealis,Common Species,NatureServe,No,NA
Betula glandulosa,Common Species,NatureServe,No,NA
Betula michauxii,Common Species,NatureServe,No,NA
Betula minor,Common Species,NatureServe,No,NA
Betula occidentalis,Common Species,NatureServe,No,NA
